cohort,isolate,drug,raw,cal,y
sl_ext,SAMEA2535082,RIF,0.25933679938316345,0.12871287128712872,0
sl_ext,SAMEA2535087,RIF,0.9958803653717041,0.9938271604938271,1
sl_ext,SAMEA2535095,RIF,0.09317788481712341,0.0810126582278481,0
sl_ext,SAMEA2535158,RIF,0.2328634113073349,0.12871287128712872,0
sl_ext,SAMEA2535171,RIF,0.09909380227327347,0.0810126582278481,0
sl_ext,SAMEA2535186,RIF,0.094810351729393,0.0810126582278481,0
sl_ext,SAMEA2535189,RIF,0.11269475519657135,0.0810126582278481,0
sl_ext,SAMEA2535215,RIF,0.9918423891067505,0.9784735812133072,1
sl_ext,SAMEA2535225,RIF,0.9875305891036987,0.9784735812133072,1
sl_ext,SAMEA2535227,RIF,0.10419156402349472,0.0810126582278481,0
sl_ext,SAMEA2535254,RIF,0.11800915002822876,0.0810126582278481,0
sl_ext,SAMEA2535275,RIF,0.4987533390522003,0.5471698113207548,0
sl_ext,SAMEA2535299,RIF,0.23703713715076447,0.12871287128712872,0
sl_ext,SAMEA2535325,RIF,0.09886705130338669,0.0810126582278481,0
sl_ext,SAMEA2535342,RIF,0.8303045034408569,0.8902439024390244,0
sl_ext,SAMEA2535344,RIF,0.09285910427570343,0.0810126582278481,0
sl_ext,SAMEA2535355,RIF,0.2747192084789276,0.12871287128712872,0
sl_ext,SAMEA2533356,EMB,0.015167557634413242,0.00463678516228748,0
sl_ext,SAMEA2533376,EMB,0.7902787327766418,0.639344262295082,1
sl_ext,SAMEA2533414,EMB,0.12891174852848053,0.037267080745341616,0
sl_ext,SAMEA2533427,EMB,0.015742871910333633,0.00463678516228748,0
sl_ext,SAMEA2533504,EMB,0.01020244974642992,0.00463678516228748,0
sl_ext,SAMEA2533550,EMB,0.010174578987061977,0.00463678516228748,0
sl_ext,SAMEA2533579,EMB,0.0892372578382492,0.02242152466367713,0
sl_ext,SAMEA2533595,EMB,0.009555797092616558,0.00463678516228748,0
sl_ext,SAMEA2533617,EMB,0.008696872740983963,0.0,0
sl_ext,SAMEA2533651,EMB,0.07752444595098495,0.02242152466367713,0
sl_ext,SAMEA2533673,EMB,0.21105064451694489,0.05555555555555555,1
sl_ext,SAMEA2533674,EMB,0.7397856116294861,0.4999999999999999,0
sl_ext,SAMEA2533690,EMB,0.12140052020549774,0.037267080745341616,0
sl_ext,SAMEA2533702,EMB,0.010438065975904465,0.00463678516228748,0
sl_ext,SAMEA2533713,EMB,0.6558643579483032,0.4230769230769231,0
sl_ext,SAMEA2533720,EMB,0.7782849669456482,0.639344262295082,1
sl_ext,SAMEA2533753,EMB,0.01026775874197483,0.00463678516228748,0
sl_ext,SAMEA2533765,EMB,0.01255826000124216,0.00463678516228748,0
sl_ext,SAMEA2533809,EMB,0.042355362325906754,0.022040816326530613,0
sl_ext,SAMEA2533865,EMB,0.012887735851109028,0.00463678516228748,0
sl_ext,SAMEA2533915,EMB,0.01020244974642992,0.00463678516228748,0
sl_ext,SAMEA2533929,EMB,0.0892372578382492,0.02242152466367713,0
sl_ext,SAMEA2533942,EMB,0.01165557000786066,0.00463678516228748,0
sl_ext,SAMEA2533994,EMB,0.0352521687746048,0.011961722488038277,1
sl_ext,SAMEA2534021,EMB,0.010174578987061977,0.00463678516228748,0
sl_ext,SAMEA2534031,EMB,0.01343751884996891,0.00463678516228748,0
sl_ext,SAMEA2534034,EMB,0.020109986886382103,0.005270092226613966,0
sl_ext,SAMEA2534074,EMB,0.7222845554351807,0.4999999999999999,1
sl_ext,SAMEA2534148,EMB,0.009191657416522503,0.00463678516228748,0
sl_ext,SAMEA2534204,EMB,0.8348243236541748,0.639344262295082,1
sl_ext,SAMEA2534237,EMB,0.010334441438317299,0.00463678516228748,0
sl_ext,SAMEA2534243,EMB,0.11475957185029984,0.037267080745341616,0
sl_ext,SAMEA2534287,EMB,0.11475957185029984,0.037267080745341616,0
sl_ext,SAMEA2534293,EMB,0.011460896581411362,0.00463678516228748,0
sl_ext,SAMEA2534340,EMB,0.01450263150036335,0.00463678516228748,0
sl_ext,SAMEA2534401,EMB,0.011318998411297798,0.00463678516228748,0
