query_accession	run_accession	sample_accession	fastq_url
ERS5312578	ERR4822514	SAMEA7555936	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/004/ERR4822514/ERR4822514_1.fastq.gz
ERS5312578	ERR4822514	SAMEA7555936	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/004/ERR4822514/ERR4822514_2.fastq.gz
ERS6402954	ERR8975380	SAMEA8718509	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/000/ERR8975380/ERR8975380_1.fastq.gz
ERS6402954	ERR8975380	SAMEA8718509	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/000/ERR8975380/ERR8975380_2.fastq.gz
ERS5302368	ERR4812208	SAMEA7545712	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4812208/ERR4812208_1.fastq.gz
ERS5302368	ERR4812208	SAMEA7545712	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4812208/ERR4812208_2.fastq.gz
ERS5303164	ERR4813004	SAMEA7546509	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/004/ERR4813004/ERR4813004_1.fastq.gz
ERS5303164	ERR4813004	SAMEA7546509	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/004/ERR4813004/ERR4813004_2.fastq.gz
ERS6422198	ERR8686566	SAMEA8742617	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR868/006/ERR8686566/ERR8686566_1.fastq.gz
ERS6422198	ERR8686566	SAMEA8742617	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR868/006/ERR8686566/ERR8686566_2.fastq.gz
ERS6402994	ERR8975420	SAMEA8718549	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/000/ERR8975420/ERR8975420_1.fastq.gz
ERS6402994	ERR8975420	SAMEA8718549	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/000/ERR8975420/ERR8975420_2.fastq.gz
ERS5282685	ERR4797659	SAMEA7526212	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797659/ERR4797659_1.fastq.gz
ERS5282685	ERR4797659	SAMEA7526212	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797659/ERR4797659_2.fastq.gz
