query_accession	run_accession	sample_accession	fastq_url
PRJEB7727	ERR553132	SAMEA2535160	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553132/ERR553132_1.fastq.gz
PRJEB7727	ERR553132	SAMEA2535160	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553132/ERR553132_2.fastq.gz
PRJEB7727	ERR553165	SAMEA2535186	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553165/ERR553165_1.fastq.gz
PRJEB7727	ERR553165	SAMEA2535186	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553165/ERR553165_2.fastq.gz
PRJEB7727	ERR553211	SAMEA2535215	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553211/ERR553211_1.fastq.gz
PRJEB7727	ERR553211	SAMEA2535215	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553211/ERR553211_2.fastq.gz
PRJEB7727	ERR553212	SAMEA2535215	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553212/ERR553212_1.fastq.gz
PRJEB7727	ERR553212	SAMEA2535215	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553212/ERR553212_2.fastq.gz
PRJEB7727	ERR553226	SAMEA2535225	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553226/ERR553226_1.fastq.gz
PRJEB7727	ERR553226	SAMEA2535225	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553226/ERR553226_2.fastq.gz
